iter	Logloss
0	0.2655546347
1	0.1122121421
2	0.04927254112
3	0.02987723668
4	0.01700612971
5	0.0120841583
6	0.008122549014
7	0.006506967542
8	0.006087356552
9	0.00407116381
10	0.003360996579
11	0.003131537626
12	0.002986029932
13	0.002534185488
14	0.002117131551
15	0.001883033919
16	0.001811051893
17	0.001609781231
18	0.001406321983
19	0.00130017345
20	0.001125535028
21	0.001072663329
22	0.001000898669
23	0.001000898669
24	0.0009450353347
25	0.0009450353347
26	0.0009450313932
27	0.0009449857725
28	0.0009449857725
29	0.0009449786442
30	0.0008895707574
31	0.0008895543206
32	0.0008425075204
33	0.0008424744499
34	0.000842431932
35	0.000842417424
36	0.000842367107
37	0.000842367107
38	0.000842367107
39	0.0008423214024
40	0.0007944071803
41	0.0007944148117
42	0.0007944265523
43	0.0007944091091
44	0.0007943872212
45	0.0007943257507
46	0.0007364338891
47	0.0007364011831
48	0.0007363952289
49	0.0007363881007
